"","Year","CountryName","TotalAdj","predicted","residuals","Gold","Silver","Bronze","locCity"
"5210",1998,"Greece",0,1,-0.907690932558038,0,0,0,"Nagano"
"5424",2002,"Greece",0,1,-1.04551123891135,0,0,0,"Salt Lake City"
"5638",2006,"Greece",0,1,-0.926430333217596,0,0,0,"Torino"
"5852",2010,"Greece",0,1,-0.731824250997379,0,0,0,"Vancouver"
"6066",2014,"Greece",0,1,-1.12958311471327,0,0,0,"Sochi"
"3509",1968,"Hungary",0,0,-0.0555824250282306,0,0,0,"Grenoble"
"3723",1972,"Hungary",0,0,0.928035860890442,0,0,0,"Sapporo"
"3937",1976,"Hungary",0,0,0.599100396082762,0,0,0,"Innsbruck"
"4151",1980,"Hungary",1,0,0.888537127753386,0,1,0,"Lake Placid"
"4365",1984,"Hungary",0,1,-0.540963835029974,0,0,0,"Sarajevo"
"4579",1988,"Hungary",0,0,-0.121413038412464,0,0,0,"Calgary"
"4793",1992,"Hungary",0,1,-0.971721367030612,0,0,0,"Albertville"
"5007",1994,"Hungary",0,0,-0.207598445276903,0,0,0,"Lillehammer"
"5221",1998,"Hungary",0,1,-0.504899998025734,0,0,0,"Nagano"
"5435",2002,"Hungary",0,1,-0.746277854823453,0,0,0,"Salt Lake City"
"5649",2006,"Hungary",0,1,-0.609375568640081,0,0,0,"Torino"
"5863",2010,"Hungary",0,0,-0.424433775737341,0,0,0,"Vancouver"
"6077",2014,"Hungary",0,1,-0.822192639453237,0,0,0,"Sochi"
"3296",1964,"Iceland",0,0,-0.482780977216719,0,0,0,"Innsbruck"
"3510",1968,"Iceland",0,0,0.125369573860266,0,0,0,"Grenoble"
"3938",1976,"Iceland",0,0,0.692171788228309,0,0,0,"Innsbruck"
"4152",1980,"Iceland",0,0,-0.0726888890248398,0,0,0,"Lake Placid"
"4366",1984,"Iceland",0,0,0.443627184056474,0,0,0,"Sarajevo"
"4580",1988,"Iceland",0,0,-0.198016115741011,0,0,0,"Calgary"
"4794",1992,"Iceland",0,1,-0.981358803591041,0,0,0,"Albertville"
"5008",1994,"Iceland",0,0,-0.129201616154654,0,0,0,"Lillehammer"
"5222",1998,"Iceland",0,0,-0.479941989948295,0,0,0,"Nagano"
"5436",2002,"Iceland",0,1,-0.609431974738962,0,0,0,"Salt Lake City"
"5650",2006,"Iceland",0,0,-0.499680810535936,0,0,0,"Torino"
"5864",2010,"Iceland",0,0,-0.14309422285654,0,0,0,"Vancouver"
"6078",2014,"Iceland",0,1,-0.540853086572435,0,0,0,"Sochi"
"3511",1968,"India",0,0,-0.295001762598387,0,0,0,"Grenoble"
"4581",1988,"India",0,0,-0.248190765299691,0,0,0,"Calgary"
"4795",1992,"India",0,1,-0.954469157367221,0,0,0,"Albertville"
"5223",1998,"India",0,1,-0.524231438871896,0,0,0,"Nagano"
"5437",2002,"India",0,1,-0.701678018284958,0,0,0,"Salt Lake City"
"5651",2006,"India",0,1,-0.578444301075519,0,0,0,"Torino"
"5865",2010,"India",0,1,-0.567141811136824,0,0,0,"Vancouver"
"6079",2014,"India",0,1,-0.96490067485272,0,0,0,"Sochi"
"3513",1968,"Iran, Islamic Rep.",0,0,-0.109549560639831,0,0,0,"Grenoble"
"3727",1972,"Iran, Islamic Rep.",0,0,0.792797137693743,0,0,0,"Sapporo"
"3941",1976,"Iran, Islamic Rep.",0,0,0.17351531542779,0,0,0,"Innsbruck"
"5225",1998,"Iran, Islamic Rep.",0,0,-0.468549899839353,0,0,0,"Nagano"
"5439",2002,"Iran, Islamic Rep.",0,1,-0.617167194766492,0,0,0,"Salt Lake City"
"5653",2006,"Iran, Islamic Rep.",0,1,-0.518398104698171,0,0,0,"Torino"
"5867",2010,"Iran, Islamic Rep.",0,1,-0.528138465201107,0,0,0,"Vancouver"
"6081",2014,"Iran, Islamic Rep.",0,1,-0.925897328917002,0,0,0,"Sochi"
"5227",1998,"Ireland",0,1,-0.936439813402768,0,0,0,"Nagano"
"5441",2002,"Ireland",0,1,-1.16822698070821,0,0,0,"Salt Lake City"
"5655",2006,"Ireland",0,1,-1.04111446624088,0,0,0,"Torino"
"5869",2010,"Ireland",0,1,-0.768776352875898,0,0,0,"Vancouver"
"6083",2014,"Ireland",0,1,-1.16653521659179,0,0,0,"Sochi"
"5229",1998,"Israel",0,1,-0.935480561159362,0,0,0,"Nagano"
"5443",2002,"Israel",0,1,-1.03889617881233,0,0,0,"Salt Lake City"
"5657",2006,"Israel",0,1,-0.777793957559515,0,0,0,"Torino"
"5871",2010,"Israel",0,1,-0.712579742740575,0,0,0,"Vancouver"
"6085",2014,"Israel",0,1,-1.11033860645647,0,0,0,"Sochi"
"3304",1964,"Italy",4,2,1.67444189870983,0,1,3,"Innsbruck"
"3518",1968,"Italy",4,5,-0.531174545980178,4,0,0,"Grenoble"
"3732",1972,"Italy",5,4,1.4329815826824,2,2,1,"Sapporo"
"3946",1976,"Italy",4,5,-0.73974670270952,1,2,1,"Innsbruck"
"4160",1980,"Italy",2,5,-2.62409987080385,0,2,0,"Lake Placid"
"4374",1984,"Italy",2,2,-0.34085863241387,2,0,0,"Sarajevo"
"4588",1988,"Italy",5,3,2.0281817485611,2,1,2,"Calgary"
"4802",1992,"Italy",14,7,7.42893955600363,4,6,4,"Albertville"
"5016",1994,"Italy",20,14,6.17701157042915,7,5,8,"Lillehammer"
"5230",1998,"Italy",10,20,-9.54899251904374,2,6,2,"Nagano"
"5444",2002,"Italy",13,11,2.37808898346399,4,4,5,"Salt Lake City"
"5658",2006,"Italy",11,13,-2.14750037986811,5,0,6,"Torino"
"5872",2010,"Italy",5,11,-6.13383010783543,1,1,3,"Vancouver"
"6086",2014,"Italy",8,6,1.8902346156805,0,2,6,"Sochi"
"4803",1992,"Jamaica",0,0,-0.296650462443556,0,0,0,"Albertville"
"5017",1994,"Jamaica",0,0,0.380913947929654,0,0,0,"Lillehammer"
"5231",1998,"Jamaica",0,0,-0.0858524586316048,0,0,0,"Nagano"
"5445",2002,"Jamaica",0,0,-0.233564788207025,0,0,0,"Salt Lake City"
"5873",2010,"Jamaica",0,0,0.234871250211787,0,0,0,"Vancouver"
"6087",2014,"Jamaica",0,0,-0.162887613504109,0,0,0,"Sochi"
"3306",1964,"Japan",0,1,-1.40586891315807,0,0,0,"Innsbruck"
"3520",1968,"Japan",0,1,-1.00087673064864,0,0,0,"Grenoble"
"3734",1972,"Japan",3,0,2.85363767256406,1,1,1,"Sapporo"
"3948",1976,"Japan",0,3,-3.19114848025545,0,0,0,"Innsbruck"
"4162",1980,"Japan",1,1,-0.21679377092047,0,1,0,"Lake Placid"
"4376",1984,"Japan",1,2,-0.743695840179045,0,1,0,"Sarajevo"
"4590",1988,"Japan",1,2,-1.42436986386443,0,0,1,"Calgary"
"4804",1992,"Japan",7,3,3.74786074773692,1,2,4,"Albertville"
"5018",1994,"Japan",5,8,-2.95676733640476,1,2,2,"Lillehammer"
"5232",1998,"Japan",10,6,3.69137357778594,5,1,4,"Nagano"
"5446",2002,"Japan",2,11,-8.94189005736557,0,1,1,"Salt Lake City"
"5660",2006,"Japan",1,3,-2.39970592097553,1,0,0,"Torino"
"5874",2010,"Japan",5,2,2.64704610682456,0,3,2,"Vancouver"
"6088",2014,"Japan",8,6,1.63473818495411,1,4,3,"Sochi"
"5234",1998,"Kazakhstan",2,3,-0.836756421232787,0,0,2,"Nagano"
"5448",2002,"Kazakhstan",0,2,-2.0882846835659,0,0,0,"Salt Lake City"
"5662",2006,"Kazakhstan",0,0,-0.400689571354817,0,0,0,"Torino"
"5876",2010,"Kazakhstan",1,0,0.607180608636313,0,1,0,"Vancouver"
"6090",2014,"Kazakhstan",1,2,-0.69421551961822,0,0,1,"Sochi"
"5449",2002,"Kenya",0,0,0.11728032057564,0,0,0,"Salt Lake City"
"5663",2006,"Kenya",0,0,0.271951502432246,0,0,0,"Torino"
"3312",1964,"Korea, Rep.",0,0,-0.368872934035437,0,0,0,"Innsbruck"
"3526",1968,"Korea, Rep.",0,0,0.0519521866773984,0,0,0,"Grenoble"
"3740",1972,"Korea, Rep.",0,0,0.978224818519129,0,0,0,"Sapporo"
"3954",1976,"Korea, Rep.",0,0,0.489109068355928,0,0,0,"Innsbruck"
"4168",1980,"Korea, Rep.",0,0,-0.296517178179616,0,0,0,"Lake Placid"
"4382",1984,"Korea, Rep.",0,0,0.00483337123815005,0,0,0,"Sarajevo"
"4596",1988,"Korea, Rep.",0,1,-0.61426819141116,0,0,0,"Calgary"
"4810",1992,"Korea, Rep.",4,2,2.43541365027999,2,1,1,"Albertville"
"5024",1994,"Korea, Rep.",6,4,1.53258054880292,4,1,1,"Lillehammer"
"5238",1998,"Korea, Rep.",6,6,-0.43273152906661,3,1,2,"Nagano"
"5452",2002,"Korea, Rep.",4,7,-2.74083019011126,2,2,0,"Salt Lake City"
"5666",2006,"Korea, Rep.",11,5,6.21795120213814,6,3,2,"Torino"
"5880",2010,"Korea, Rep.",14,11,3.10685520262651,6,6,2,"Vancouver"
"6094",2014,"Korea, Rep.",8,14,-6.0018154547053,3,3,2,"Sochi"
"5241",1998,"Kyrgyz Republic",0,0,0.69468495720689,0,0,0,"Nagano"
"5455",2002,"Kyrgyz Republic",0,0,0.603091381774483,0,0,0,"Salt Lake City"
"5669",2006,"Kyrgyz Republic",0,0,0.733763018880393,0,0,0,"Torino"
"5883",2010,"Kyrgyz Republic",0,0,0.768495273977389,0,0,0,"Vancouver"
"6097",2014,"Kyrgyz Republic",0,0,0.370736410261494,0,0,0,"Sochi"
"5029",1994,"Latvia",0,0,0.375677137969344,0,0,0,"Lillehammer"
"5243",1998,"Latvia",0,0,0.0140196210153307,0,0,0,"Nagano"
"5457",2002,"Latvia",0,0,-0.237598889295916,0,0,0,"Salt Lake City"
"5671",2006,"Latvia",1,0,0.804024769540421,0,0,1,"Torino"
"5885",2010,"Latvia",2,1,1.0583176038699,0,2,0,"Vancouver"
"6099",2014,"Latvia",4,2,1.75692147561536,0,2,2,"Sochi"
"4602",1988,"Lebanon",0,0,0.479753379668468,0,0,0,"Calgary"
"4816",1992,"Lebanon",0,0,-0.447528729672319,0,0,0,"Albertville"
