Year,YearCode,Country Name,Country Code,GDP,Pop,olympiccountry,GameType,Year,locCity,locCountry,Rank,Gold,Silver,Bronze,Total,Participant,ParticMedalCheck,TotalAdj,AvgAnnualTemp,NumEvents,NumMedals
1960,YR1960,Senegal,SEN,792824703,3177737,Senegal,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,27.87320583,19,301
1960,YR1960,Serbia,SRB,,0,Serbia,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,10.17899356,19,301
1960,YR1960,Seychelles,SYC,12012025,41700,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,,19,301
1960,YR1960,Sierra Leone,SLE,322009478,2160111,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,26.0437999,19,301
1960,YR1960,Singapore,SGP,704453107,1646000,Singapore,Summer,1960,Roma,Italy,36,0,1,0,1,1,0,1,,19,301
1960,YR1960,Sint Maarten (Dutch part),SXM,,0,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,,19,301
1960,YR1960,Slovak Republic,SVK,,4068095,Slovakia,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,7.269396131,19,301
1960,YR1960,Slovenia,SVN,,1584720,Slovenia,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,8.04021112,19,301
1960,YR1960,Solomon Islands,SLB,,117869,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,25.67630043,19,301
1960,YR1960,Somalia,SOM,180460950,2756380,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,26.76684425,19,301
1960,YR1960,South Africa,ZAF,7363240475,17396000,South Africa,Summer,1960,Roma,Italy,23,0,1,2,3,1,0,3,17.59687334,19,301
1960,YR1960,South Sudan,SSD,,2955044,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,26.92792645,19,301
1960,YR1960,Spain,ESP,12072126075,30455000,Spain,Summer,1960,Roma,Italy,42,0,0,1,1,1,0,1,13.02547607,19,301
1960,YR1960,Sri Lanka,LKA,1419629929,9896000,Sri Lanka,Summer,1960,Roma,Italy,0,0,0,0,0,1,0,0,26.75522735,19,301
