"","Year","YearCode","CountryName","CountryCode","GDP","Pop","olympiccountry","GameType","Yearextra","locCity","locCountry","Rank","Gold","Silver","Bronze","Total","Participant","ParticMedalCheck","TotalAdj","AvgAnnualTemp","NumEvents","NumMedals","logPop","logGDP","logGDPperCap","TotalAdjLagBy1","predicted","residuals"
"1558",1988,"YR1988","Equatorial Guinea","GNQ",127202887,351776,"","Summer",1988,"Seoul","South Korea",0,0,0,0,0,1,0,0,24.12599966,30,444,12.7707498883786,18.6612939051536,5.89054401677502,0,0,3.05768847226837
"1772",1992,"YR1992","Equatorial Guinea","GNQ",154183096,399625,"","Summer",1992,"Barcelona","Spain",0,0,0,0,0,1,0,0,24.12599966,32,692,12.8982818863621,18.8536513892193,5.95536950285712,0,0,0.317406202204478
"1986",1996,"YR1996","Equatorial Guinea","GNQ",259073826,456389,"","Summer",1996,"Atlanta","United States",0,0,0,0,0,1,0,0,24.12599966,31,837,13.0311007950144,19.372623621518,6.34152282650357,0,0,0.868329840475715
"2200",2000,"YR2000","Equatorial Guinea","GNQ",1242848857,518179,"","Summer",2000,"Sydney","Australia",0,0,0,0,0,1,0,0,24.12599966,34,918,13.1580760213951,20.9406720467478,7.78259602535268,0,0,-0.0386657624449723
"2414",2004,"YR2004","Equatorial Guinea","GNQ",5240842261,585983,"","Summer",2004,"Athina","Greece",0,0,0,0,0,1,0,0,24.12599966,34,920,13.2810460578994,22.3797480591946,9.09870200129521,0,0,0.0371243681574215
"2628",2008,"YR2008","Equatorial Guinea","GNQ",15471010923,658025,"","Summer",2008,"Beijing","China",0,0,0,0,0,1,0,0,24.12599966,35,954,13.3969982035067,23.4622338467137,10.0652356432071,0,0,-0.289039352273133
"2842",2012,"YR2012","Equatorial Guinea","GNQ",17697394251,736296,"","Summer",2012,"London","Great Britain",0,0,0,0,0,1,0,0,24.12599966,32,960,13.5093874907738,23.596683248231,10.0872957574572,0,0,-0.171601272998624
"2415",2004,"YR2004","Eritrea","ERI",1109054002,4665522,"Eritrea","Summer",2004,"Athina","Greece",71,0,0,1,1,1,0,1,26.06832509,34,920,15.3557102831097,20.8267732384483,5.47106295533864,0,0,1.49800037703958
"2629",2008,"YR2008","Eritrea","ERI",1380188800,5382163,"Eritrea","Summer",2008,"Beijing","China",0,0,0,0,0,1,0,0,26.06832509,35,954,15.4986008959494,21.0454861383519,5.54688524240252,1,0,-0.497471694755476
"2843",2012,"YR2012","Eritrea","ERI",3091837398,6130922,"Eritrea","Summer",2012,"London","Great Britain",0,0,0,0,0,1,0,0,26.06832509,32,960,15.6288557044326,21.8520313783198,6.22317567388723,0,0,0.347873705874823
"1988",1996,"YR1996","Estonia","EST",4727884887,1415594,"Estonia","Summer",1996,"Atlanta","United States",0,0,0,0,0,1,0,0,5.030938424,31,837,14.163059788959,22.2767437696726,8.11368398071358,2,2,-1.90380731222876
"2202",2000,"YR2000","Estonia","EST",5675174662,1369515,"Estonia","Summer",2000,"Sydney","Australia",55,1,0,2,3,1,0,3,5.030938424,34,918,14.1299672205278,22.4593671772852,8.32939995675739,0,1,2.48627151790517
"2416",2004,"YR2004","Estonia","EST",12025943710,1349290,"Estonia","Summer",2004,"Athina","Greece",57,0,1,2,3,1,0,3,5.030938424,34,920,14.1150890861411,23.210332128861,9.09524304271986,3,3,-0.0295430159853351
