"","Year","CountryName","TotalAdj","predicted","residuals","Gold","Silver","Bronze","locCity"
"1451",1984,"Sierra Leone",0,2,-1.80722755453933,0,0,0,"Los Angeles"
"1665",1988,"Sierra Leone",0,0,2.38735394497417,0,0,0,"Seoul"
"1879",1992,"Sierra Leone",0,0,-0.157842305144479,0,0,0,"Barcelona"
"2093",1996,"Sierra Leone",0,0,0.453859626631479,0,0,0,"Atlanta"
"2307",2000,"Sierra Leone",0,0,0.15061606362615,0,0,0,"Sydney"
"2521",2004,"Sierra Leone",0,0,0.419110345112,0,0,0,"Athina"
"2735",2008,"Sierra Leone",0,0,0.253820637669603,0,0,0,"Beijing"
"2949",2012,"Sierra Leone",0,0,0.284958224017263,0,0,0,"London"
"2310",2000,"Slovak Republic",5,4,1.17191614837366,1,3,1,"Sydney"
"2524",2004,"Slovak Republic",6,5,0.616026252985941,2,2,2,"Athina"
"2738",2008,"Slovak Republic",6,6,-0.48250090489057,3,2,1,"Beijing"
"2952",2012,"Slovak Republic",4,6,-2.30078903396034,0,1,3,"London"
"2097",1996,"Slovenia",2,2,-0.367421915022842,0,2,0,"Atlanta"
"2311",2000,"Slovenia",2,3,-0.773520519331926,2,0,0,"Sydney"
"2525",2004,"Slovenia",4,2,1.58384235474902,0,1,3,"Athina"
"2739",2008,"Slovenia",5,4,0.574698151288408,1,2,2,"Beijing"
"2953",2012,"Slovenia",4,5,-1.14292516723492,1,1,2,"London"
"1670",1988,"Solomon Islands",0,0,2.7844203588883,0,0,0,"Seoul"
"1884",1992,"Solomon Islands",0,0,0.0424735702323583,0,0,0,"Barcelona"
"2098",1996,"Solomon Islands",0,0,0.630105393513794,0,0,0,"Atlanta"
"2312",2000,"Solomon Islands",0,0,0.286056169002916,0,0,0,"Sydney"
"2526",2004,"Solomon Islands",0,0,0.850313760414281,0,0,0,"Athina"
"2740",2008,"Solomon Islands",0,0,0.690190613657891,0,0,0,"Beijing"
"2954",2012,"Solomon Islands",0,0,0.712097738449254,0,0,0,"London"
"1457",1984,"Somalia",0,2,-1.71280631984977,0,0,0,"Los Angeles"
"1671",1988,"Somalia",0,0,2.38852102531878,0,0,0,"Seoul"
"1886",1992,"South Africa",2,5,-2.59733937805256,0,2,0,"Barcelona"
"2100",1996,"South Africa",5,3,2.01872599650245,3,1,1,"Atlanta"
"2314",2000,"South Africa",5,6,-1.18590007859543,0,2,3,"Sydney"
"2528",2004,"South Africa",6,6,0.179263894041456,1,3,2,"Athina"
"2742",2008,"South Africa",1,7,-5.81595841044358,0,1,0,"Beijing"
"2956",2012,"South Africa",6,2,3.91231627965294,3,2,1,"London"
"390",1964,"Spain",0,2,-2.23983794076638,0,0,0,"Tokyo"
"604",1968,"Spain",0,1,-1.11114829738248,0,0,0,"Ciudad de Mexico"
"818",1972,"Spain",1,1,-0.0600920823018452,0,0,1,"Munchen"
"1032",1976,"Spain",2,1,0.577003232295009,0,2,0,"Montreal"
"1246",1980,"Spain",6,4,1.95574174934108,1,3,2,"Moskva"
"1460",1984,"Spain",5,9,-3.98422173871783,1,2,2,"Los Angeles"
"1674",1988,"Spain",4,4,-0.103851112410414,1,1,2,"Seoul"
"1888",1992,"Spain",22,6,15.9917142496335,13,7,2,"Barcelona"
"2102",1996,"Spain",17,22,-5.12801042913843,5,6,6,"Atlanta"
"2316",2000,"Spain",11,18,-6.85625089211861,3,3,5,"Sydney"
"2530",2004,"Spain",20,12,8.09072771076902,3,11,6,"Athina"
"2744",2008,"Spain",18,20,-2.44511000650111,5,10,3,"Beijing"
"2958",2012,"Spain",17,18,-1.35870162128949,3,10,4,"London"
"391",1964,"Sri Lanka",0,0,-0.440694588425258,0,0,0,"Tokyo"
"605",1968,"Sri Lanka",0,0,-0.222887721937155,0,0,0,"Ciudad de Mexico"
"819",1972,"Sri Lanka",0,0,-0.0945819911694291,0,0,0,"Munchen"
"1247",1980,"Sri Lanka",0,1,-0.927988262093032,0,0,0,"Moskva"
"1461",1984,"Sri Lanka",0,2,-2.34697683768095,0,0,0,"Los Angeles"
"1675",1988,"Sri Lanka",0,0,1.79446957842257,0,0,0,"Seoul"
"1889",1992,"Sri Lanka",0,1,-0.987396293674931,0,0,0,"Barcelona"
"2103",1996,"Sri Lanka",0,0,-0.386687002296665,0,0,0,"Atlanta"
"2317",2000,"Sri Lanka",1,1,0.139744040890305,0,1,0,"Sydney"
"2531",2004,"Sri Lanka",0,1,-1.34809777932128,0,0,0,"Athina"
"2745",2008,"Sri Lanka",0,1,-0.614502092529884,0,0,0,"Beijing"
"2959",2012,"Sri Lanka",0,1,-0.571140161170951,0,0,0,"London"
"1893",1992,"St. Vincent and the Grenadines",0,0,0.200764900922869,0,0,0,"Barcelona"
"2107",1996,"St. Vincent and the Grenadines",0,0,0.854465417323381,0,0,0,"Atlanta"
"2321",2000,"St. Vincent and the Grenadines",0,0,0.324783918688841,0,0,0,"Sydney"
"2535",2004,"St. Vincent and the Grenadines",0,0,0.760024972785635,0,0,0,"Athina"
"2749",2008,"St. Vincent and the Grenadines",0,0,0.678247233352869,0,0,0,"Beijing"
"2963",2012,"St. Vincent and the Grenadines",0,0,0.832019478175037,0,0,0,"London"
"610",1968,"Sudan",0,0,-0.199221272854652,0,0,0,"Ciudad de Mexico"
"824",1972,"Sudan",0,0,-0.0845943987316584,0,0,0,"Munchen"
"1466",1984,"Sudan",0,3,-2.50373501552644,0,0,0,"Los Angeles"
"1680",1988,"Sudan",0,0,1.54782090308948,0,0,0,"Seoul"
"1894",1992,"Sudan",0,1,-0.890159617633847,0,0,0,"Barcelona"
"2108",1996,"Sudan",0,0,-0.256254470237044,0,0,0,"Atlanta"
"2322",2000,"Sudan",0,1,-0.775017135113819,0,0,0,"Sydney"
"2536",2004,"Sudan",0,0,-0.428649762866763,0,0,0,"Athina"
"2750",2008,"Sudan",1,1,0.293934652650589,0,1,0,"Beijing"
"2964",2012,"Sudan",0,2,-1.50743839039,0,0,0,"London"
"825",1972,"Suriname",0,0,0.60594221290466,0,0,0,"Munchen"
"1039",1976,"Suriname",0,0,1.21873789499436,0,0,0,"Montreal"
"1467",1984,"Suriname",0,2,-1.71834465466534,0,0,0,"Los Angeles"
"1681",1988,"Suriname",1,0,3.37659121353879,1,0,0,"Seoul"
"1895",1992,"Suriname",1,1,0.0854549408423976,0,0,1,"Barcelona"
"2109",1996,"Suriname",0,0,-0.435511833914722,0,0,0,"Atlanta"
"2323",2000,"Suriname",0,0,0.0641619053778644,0,0,0,"Sydney"
"2537",2004,"Suriname",0,0,0.426631472514916,0,0,0,"Athina"
"2751",2008,"Suriname",0,0,0.167238775145735,0,0,0,"Beijing"
"2965",2012,"Suriname",0,0,0.219072160524667,0,0,0,"London"
"1468",1984,"Swaziland",0,2,-1.55151773829721,0,0,0,"Los Angeles"
"1682",1988,"Swaziland",0,0,2.52995451453913,0,0,0,"Seoul"
"1896",1992,"Swaziland",0,0,-0.341456363728106,0,0,0,"Barcelona"
"2110",1996,"Swaziland",0,0,0.301504674265339,0,0,0,"Atlanta"
"2324",2000,"Swaziland",0,0,-0.107335661765754,0,0,0,"Sydney"
"2538",2004,"Swaziland",0,0,0.269671513367768,0,0,0,"Athina"
"2752",2008,"Swaziland",0,0,0.208977931210416,0,0,0,"Beijing"
"2966",2012,"Swaziland",0,0,0.301994367086598,0,0,0,"London"
"399",1964,"Sweden",8,7,1.10066468728266,2,2,4,"Tokyo"
"613",1968,"Sweden",4,9,-4.55423773629525,2,1,1,"Ciudad de Mexico"
"827",1972,"Sweden",16,5,11.2776766320109,4,6,6,"Munchen"
"1041",1976,"Sweden",5,15,-10.3390587744082,4,1,0,"Montreal"
"1255",1980,"Sweden",12,7,5.32250644428298,3,3,6,"Moskva"
"1469",1984,"Sweden",19,14,4.56640747063076,2,11,6,"Los Angeles"
"1683",1988,"Sweden",11,17,-5.98779439058068,0,4,7,"Seoul"
"1897",1992,"Sweden",12,12,-0.287349981629581,1,7,4,"Barcelona"
"2111",1996,"Sweden",8,13,-4.51822085525934,2,4,2,"Atlanta"
"2325",2000,"Sweden",12,9,2.83166958776103,4,5,3,"Sydney"
"2539",2004,"Sweden",7,13,-5.5055070047306,4,2,1,"Athina"
"2753",2008,"Sweden",5,8,-2.91458431120978,0,4,1,"Beijing"
"2967",2012,"Sweden",8,6,2.09152158659447,1,4,3,"London"
"400",1964,"Switzerland",4,7,-2.78071172646661,1,2,1,"Tokyo"
"614",1968,"Switzerland",5,5,0.319635559967648,0,1,4,"Ciudad de Mexico"
"1256",1980,"Switzerland",2,6,-3.68490956094573,2,0,0,"Moskva"
"1470",1984,"Switzerland",8,5,2.92584318175496,0,4,4,"Los Angeles"
"1684",1988,"Switzerland",4,7,-2.70539411500772,0,2,2,"Seoul"
"1898",1992,"Switzerland",1,6,-4.72701135960846,1,0,0,"Barcelona"
"2112",1996,"Switzerland",7,2,4.72914269608633,4,3,0,"Atlanta"
"2326",2000,"Switzerland",9,8,0.757444569504058,1,6,2,"Sydney"
"2540",2004,"Switzerland",5,10,-4.7096555833513,1,1,3,"Athina"
"2754",2008,"Switzerland",7,6,0.933303536257594,2,1,4,"Beijing"
"2968",2012,"Switzerland",4,8,-3.83402179972524,2,2,0,"London"
"829",1972,"Syrian Arab Republic",0,0,-0.145021261527995,0,0,0,"Munchen"
"1257",1980,"Syrian Arab Republic",0,1,-1.2860973204577,0,0,0,"Moskva"
"1471",1984,"Syrian Arab Republic",1,3,-1.67073285089046,0,1,0,"Los Angeles"
"1685",1988,"Syrian Arab Republic",0,0,0.734561473198947,0,0,0,"Seoul"
"1899",1992,"Syrian Arab Republic",0,1,-1.08105776858168,0,0,0,"Barcelona"
"2113",1996,"Syrian Arab Republic",1,0,0.617485461307557,1,0,0,"Atlanta"
"2327",2000,"Syrian Arab Republic",0,2,-1.84560252964135,0,0,0,"Sydney"
"2541",2004,"Syrian Arab Republic",1,0,0.527786235637139,0,0,1,"Athina"
"2755",2008,"Syrian Arab Republic",0,2,-1.6280312236773,0,0,0,"Beijing"
"2969",2012,"Syrian Arab Republic",0,1,-0.638048641163646,0,0,0,"London"
"2328",2000,"Tajikistan",0,0,0.0542798037905658,0,0,0,"Sydney"
"2542",2004,"Tajikistan",0,0,0.302229615086122,0,0,0,"Athina"
"2756",2008,"Tajikistan",2,0,2.02914439656499,0,1,1,"Beijing"
"2970",2012,"Tajikistan",1,2,-0.774033413872309,0,0,1,"London"
"1687",1988,"Tanzania",0,0,1.88793490878927,0,0,0,"Seoul"
"1901",1992,"Tanzania",0,1,-0.761518609804257,0,0,0,"Barcelona"
"2115",1996,"Tanzania",0,0,-0.156948298479556,0,0,0,"Atlanta"
"2329",2000,"Tanzania",0,1,-0.719728674578744,0,0,0,"Sydney"
"2543",2004,"Tanzania",0,0,-0.272001633336586,0,0,0,"Athina"
"2757",2008,"Tanzania",0,0,-0.412637903315792,0,0,0,"Beijing"
"2971",2012,"Tanzania",0,0,-0.349257178863361,0,0,0,"London"
"404",1964,"Thailand",0,1,-0.781109157031973,0,0,0,"Tokyo"
"618",1968,"Thailand",0,1,-0.605817301027326,0,0,0,"Ciudad de Mexico"
"832",1972,"Thailand",0,0,-0.461600581209234,0,0,0,"Munchen"
"1046",1976,"Thailand",1,0,1.09878545800036,0,0,1,"Montreal"
"1474",1984,"Thailand",1,4,-2.88628879670705,0,1,0,"Los Angeles"
"1688",1988,"Thailand",1,0,1.17967858421699,0,0,1,"Seoul"
"1902",1992,"Thailand",1,3,-1.68284739005022,0,0,1,"Barcelona"
"2116",1996,"Thailand",2,2,-0.122232955468561,1,0,1,"Atlanta"
"2330",2000,"Thailand",3,3,-0.359882697585017,1,0,2,"Sydney"
"2544",2004,"Thailand",8,4,4.14028559160833,3,1,4,"Athina"
